TV#,A,B,C,D,E,Batch Size
1,34%,37%,20%,31%,37%,4
2,35%,47%,34%,37%,43%,8
3,35%,53%,45%,44%,53%,12
4,35%,55%,46%,53%,60%,16
5,35%,58%,51%,55%,63%,20
6,35%,62%,53%,55%,70%,24
7,35%,62%,53%,55%,75%,28
8,35%,62%,54%,56%,76%,32
9,37%,63%,57%,56%,77%,36
10,39%,65%,59%,59%,83%,40
11,39%,65%,60%,59%,84%,44
12,39%,66%,60%,59%,84%,48
13,40%,66%,62%,59%,84%,52
14,40%,67%,62%,59%,85%,56
15,41%,67%,62%,59%,85%,60
16,41%,67%,66%,59%,85%,64
17,41%,73%,66%,59%,85%,68
18,41%,73%,68%,59%,87%,72
19,41%,74%,69%,59%,87%,76
20,41%,74%,73%,59%,87%,80
21,41%,74%,73%,59%,89%,84
22,41%,74%,74%,59%,89%,88
23,41%,75%,74%,59%,89%,92
24,41%,76%,74%,59%,90%,96
25,41%,76%,74%,59%,90%,100
