TV#,A,B,C,D,E,Batch Size
1,16%,23%,5%,23%,19%,1
2,30%,32%,7%,27%,29%,2
3,30%,37%,14%,30%,34%,3
4,34%,37%,20%,31%,37%,4
5,34%,39%,21%,31%,39%,5
6,34%,46%,24%,37%,39%,6
7,34%,46%,33%,37%,41%,7
8,35%,47%,34%,37%,43%,8
9,35%,47%,39%,42%,46%,9
10,35%,47%,42%,43%,49%,10
11,35%,53%,44%,43%,52%,11
12,35%,53%,45%,44%,53%,12
13,35%,54%,45%,44%,54%,13
14,35%,54%,45%,44%,55%,14
15,35%,54%,46%,48%,58%,15
16,35%,55%,46%,53%,60%,16
17,35%,55%,51%,54%,62%,17
18,35%,57%,51%,54%,62%,18
19,35%,57%,51%,54%,62%,19
20,35%,58%,51%,55%,63%,20
21,35%,61%,52%,55%,64%,21
22,35%,62%,52%,55%,64%,22
23,35%,62%,53%,55%,67%,23
24,35%,62%,53%,55%,70%,24
25,35%,62%,53%,55%,71%,25
