TV#,A,B,C,D,E,Batch Size
1,35%,47%,42%,43%,49%,10
2,35%,58%,51%,55%,63%,20
3,35%,62%,54%,55%,75%,30
4,39%,65%,59%,59%,83%,40
5,39%,66%,60%,59%,84%,50
6,41%,67%,62%,59%,85%,60
7,41%,73%,66%,59%,86%,70
8,41%,74%,73%,59%,87%,80
9,41%,75%,74%,59%,89%,90
10,41%,76%,74%,59%,90%,100
11,41%,76%,74%,59%,90%,110
12,42%,76%,75%,60%,90%,120
13,42%,76%,81%,61%,90%,130
14,42%,82%,82%,61%,90%,140
15,42%,83%,84%,62%,90%,150
16,42%,83%,84%,62%,90%,160
17,42%,83%,84%,62%,90%,170
18,42%,83%,84%,62%,90%,180
19,42%,83%,84%,62%,90%,190
20,42%,83%,85%,62%,91%,200
21,42%,84%,86%,62%,91%,210
22,42%,84%,86%,62%,91%,220
23,42%,84%,86%,62%,91%,230
24,42%,85%,87%,62%,91%,240
25,42%,85%,87%,62%,91%,250
